UNIQUE_ID,STEPSEQ,LOT_ID,Wafer,P_EQPID,Photo_PPID,MMO_MRC_EQP,P_TIME,M_TIME,ChuckID,K PARA,GPM,INDEX
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W16,0.0,16
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W17,0.00036,17
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W18,0.0,18
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W19,-4e-05,19
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,W20,0.0,20
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R3,-0.09021,21
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R4,0.0,22
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R5,-0.02615,23
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R6,0.0,24
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R7,0.00083,25
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R8,0.0,26
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R9,0.00073,27
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R10,0.0,28
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R11,0.00012,29
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R12,0.0,30
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R13,0.00078,31
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R14,0.0,32
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R15,-4e-05,33
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R16,0.0,34
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R17,0.00016,35
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R18,0.0,36
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R19,-0.00012,37
WF075030_PTVP841_5G4PPWF.WF075P_-_2024-07-16 23:04:19_2024-07-16 23:55:04_PDS211.1_11,WF075030,PDS211.1,11,PTVP841,5G4PPWF.WF075P,-,2024-07-16 23:04:19,2024-07-16 23:55:04,EX1,R20,0.0,38
